,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Atenção Primária,593,Vencimentos e Vantagens Fixas - Pessoal Civil,1604,"R$ 970.000,00",,,"R$ 747.207,56","R$ 75.083,77","R$ 75.083,77","R$ 75.083,77","R$ 75.083,77","R$ 75.083,77","R$ 75.083,77","R$ 72.624,90","R$ 72.624,90","R$ 72.624,90",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 222.792,44","R$ 222.792,44","R$ 222.792,44"
Atenção Primária,594,Vencimentos e Vantagens Fixas - Pessoal Civil,,"R$ 42.000,00",,,"R$ 37.327,07","R$ 2.013,11","R$ 2.013,11","R$ 2.013,11","R$ 2.013,11","R$ 2.013,11","R$ 2.013,11","R$ 646,71","R$ 646,71","R$ 646,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.672,93","R$ 4.672,93","R$ 4.672,93"
Atenção Primária,595,Vencimentos e Vantagens Fixas - Pessoal Civil,1621,"R$ 350.000,00",,"R$ 3.700,00","R$ 253.712,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 92.588,00","R$ 92.588,00","R$ 92.588,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 92.588,00","R$ 92.588,00","R$ 92.588,00"
Atenção Primária,596,Vencimentos e Vantagens Fixas - Pessoal Civil,,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,597,Obrigações Patronais,1500,"R$ 671.000,00",,,"R$ 456.932,42","R$ 72.273,29","R$ 72.273,29","R$ 0,00","R$ 70.301,38","R$ 70.301,38","R$ 72.273,29","R$ 71.492,91","R$ 71.492,91","R$ 70.301,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 214.067,58","R$ 214.067,58","R$ 142.574,67"
Atenção Primária,598,Obrigações Patronais,1631,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,599,Obrigações Patronais,1621,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,600,Outras Despesas Variáveis - Pessoal Civil,1500,"R$ 4.000,00",,,"R$ 3.852,64","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 147,36","R$ 147,36","R$ 147,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 147,36","R$ 147,36","R$ 147,36"
Atenção Primária,601,Outras Despesas Variáveis - Pessoal Civil,1631,"R$ 20.000,00",,,"R$ 16.061,38","R$ 1.218,06","R$ 1.218,06","R$ 1.218,06","R$ 781,39","R$ 781,39","R$ 781,39","R$ 1.939,17","R$ 1.939,17","R$ 1.939,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 3.938,62","R$ 3.938,62","R$ 3.938,62"
Atenção Primária,602,Outras Despesas Variáveis - Pessoal Civil,1621,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
