,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Atenção Primária,497,Serviços de Terceiros PJ,1600,"R$ 138.314,00","R$ 200.000,00",,"R$ 31.896,05","R$ 0,00","R$ 0,00","R$ 0,00","R$ 221.941,95","R$ 67.235,00","R$ 67.235,00","R$ 84.476,00","R$ 108.793,17","R$ 105.663,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 306.417,95","R$ 176.028,17","R$ 172.898,19"
Atenção Primária,500,Auxílio-Alimentação,1600,"R$ 196.878,00",,,"R$ 142.194,67","R$ 15.300,00","R$ 15.300,00","R$ 15.300,00","R$ 17.850,00","R$ 17.850,00","R$ 17.850,00","R$ 21.533,33","R$ 21.533,33","R$ 21.533,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 54.683,33","R$ 54.683,33","R$ 54.683,33"
Atenção Primária,502,Equipamentos e Materiais Permanentes,1600,"R$ 46.200,00",,,"R$ 46.200,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,478,Contratação por tempo Determinado,1604,"R$ 11.000,00",,,"R$ 11.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,481,Vencimentos e Vantagens Fixas - Pessoal Civil,1604,"R$ 550.000,00",,,"R$ 329.544,00","R$ 74.566,00","R$ 74.566,00","R$ 74.566,00","R$ 74.566,00","R$ 74.566,00","R$ 74.566,00","R$ 71.324,00","R$ 71.324,00","R$ 71.324,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 220.456,00","R$ 220.456,00","R$ 220.456,00"
Atenção Primária,482,Vencimentos e Vantagens Fixas - Pessoal Civil,1605,"R$ 80.000,00",,,"R$ 61.448,73","R$ 7.669,88","R$ 7.096,00","R$ 7.096,00","R$ 7.096,00","R$ 7.669,88","R$ 7.669,88","R$ 3.785,39","R$ 3.785,39","R$ 3.785,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 18.551,27","R$ 18.551,27","R$ 18.551,27"
Atenção Primária,1033,Diárias - Pessoal Civil,1621,"R$ 0,00","R$ 3.000,00",,"R$ 1.981,29","R$ 0,00","R$ 0,00","R$ 0,00","R$ 544,44","R$ 171,15","R$ 0,00","R$ 474,27","R$ 302,60","R$ 473,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.018,71","R$ 473,75","R$ 473,75"
Atenção Primária,491,Materiais de Consumo,1621,"R$ 800.272,00",,,"R$ 453.954,54","R$ 302.936,99","R$ 37.272,67","R$ 436,64","R$ 8.717,98","R$ 77.780,60","R$ 113.940,43","R$ 34.662,49","R$ 26.323,99","R$ 23.694,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 346.317,46","R$ 141.377,26","R$ 138.071,40"
Atenção Primária,495,Serviços de Terceiro PF,1621,"R$ 1.100,00",,,"R$ 1.100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,498,Serviços de Terceiros PJ,1621,"R$ 979.957,00",,,"R$ 452.261,91","R$ 425.637,02","R$ 39.766,94","R$ 1.908,82","R$ 89.574,44","R$ 67.826,12","R$ 105.684,24","R$ 12.483,63","R$ 14.861,06","R$ 5.917,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 527.695,09","R$ 122.454,12","R$ 113.510,10"
Atenção Primária,501,Auxílio-Alimentação,1621,"R$ 1.100,00","R$ 2.000,00",,"R$ 550,00","R$ 850,00","R$ 850,00","R$ 850,00","R$ 850,00","R$ 850,00","R$ 850,00","R$ 850,00","R$ 850,00","R$ 850,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.550,00","R$ 2.550,00","R$ 2.550,00"
