,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
MAC,170,Materiais de Consumo,1500,"R$ 500.000,00",,,"R$ 297.725,44","R$ 188.268,61","R$ 0,00","R$ 0,00","R$ 11.960,41","R$ 18.512,93","R$ 18.512,93","R$ 2.045,54","R$ 39.259,22","R$ 8.068,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 202.274,56","R$ 57.772,15","R$ 26.581,34"
MAC,171,Serviços de Terceiros PJ,1500,"R$ 1.850.000,00",,,"R$ 906.087,11","R$ 372.549,37","R$ 159.660,06","R$ 159.660,06","R$ 110.021,93","R$ 225.661,54","R$ 147.991,20","R$ 461.341,59","R$ 481.104,31","R$ 528.099,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 943.912,89","R$ 866.425,91","R$ 835.750,61"
MAC,172,Outros Auxílios  financeiros PF,1500,"R$ 500,00",,,"R$ 500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
MAC,173,Folha de Pagamento,1500,"R$ 20.000,00","R$ 6.072,48",,"R$ 0,00","R$ 8.315,92","R$ 8.315,92","R$ 7.107,62","R$ 9.132,11","R$ 9.132,11","R$ 9.013,52","R$ 8.624,45","R$ 8.624,45","R$ 8.698,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 26.072,48","R$ 26.072,48","R$ 24.819,35"
MAC,174,Folha de Pagamento,1500,"R$ 550.000,00",,,"R$ 478.247,85","R$ 20.287,17","R$ 20.287,17","R$ 20.287,17","R$ 26.321,99","R$ 26.321,99","R$ 26.321,99","R$ 25.142,99","R$ 25.142,99","R$ 25.142,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 71.752,15","R$ 71.752,15","R$ 71.752,15"
MAC,175,Folha de Pagamento,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
MAC,176,Folha de Pagamento,1500,"R$ 70.000,00",,,"R$ 52.365,55","R$ 5.426,66","R$ 5.426,66","R$ 5.426,66","R$ 6.699,74","R$ 6.699,74","R$ 6.699,74","R$ 5.508,05","R$ 5.508,05","R$ 5.508,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 17.634,45","R$ 17.634,45","R$ 17.634,45"
MAC,177,Folha de Pagamento,1500,"R$ 20.000,00",,"R$ 6.072,48","R$ 13.927,52","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
MAC,178,Folha de Pagamento,1500,"R$ 75.000,00",,,"R$ 63.607,86","R$ 3.287,52","R$ 3.287,52",,"R$ 4.194,80","R$ 4.194,80","R$ 3.287,52","R$ 3.909,82","R$ 3.909,82","R$ 4.194,80",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 11.392,14","R$ 11.392,14","R$ 7.482,32"
MAC,179,Outros Benefícios Assistenciais do Servidor ou Militar,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
MAC,180,Folha de Pagamento,1500,"R$ 75.000,00",,,"R$ 40.296,00","R$ 19.500,00","R$ 5.430,50","R$ 5.430,50","R$ 0,00","R$ 7.437,00","R$ 7.437,00","R$ 15.204,00","R$ 19.624,00","R$ 17.745,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 34.704,00","R$ 32.491,50","R$ 30.612,50"
MAC,181,Materiais de Consumo,1500,"R$ 70.000,00",,,"R$ 14.976,50","R$ 52.720,42","R$ 0,00","R$ 0,00","R$ 2.110,00","R$ 4.080,66","R$ 3.060,66","R$ 193,08","R$ 8.261,31","R$ 1.520,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 55.023,50","R$ 12.341,97","R$ 4.581,08"
MAC,182,Serviços de Terceiros PJ,1500,"R$ 10.000,00",,,"R$ 9.071,28","R$ 605,24","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 323,48","R$ 605,24","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 928,72","R$ 605,24","R$ 0,00"
Farmácia,183,Folha de Pagamento,1500,"R$ 35.000,00",,,"R$ 35.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Farmácia,184,Folha de Pagamento,1500,"R$ 160.000,00",,,"R$ 127.876,59","R$ 10.172,94","R$ 10.172,94","R$ 10.172,94","R$ 11.181,47","R$ 11.181,47","R$ 11.181,47","R$ 10.769,00","R$ 10.769,00","R$ 10.769,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 32.123,41","R$ 32.123,41","R$ 32.123,41"
Farmácia,185,Folha de Pagamento,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Farmácia,186,Folha de Pagamento,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Farmácia,187,Folha de Pagamento,1500,"R$ 8.000,00",,,"R$ 8.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Farmácia,188,Folha de Pagamento,1500,"R$ 27.000,00",,,"R$ 21.439,22","R$ 1.757,32","R$ 1.757,32","R$ 0,00","R$ 1.938,86","R$ 1.938,86","R$ 1.757,32","R$ 1.864,60","R$ 1.864,60","R$ 1.951,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 5.560,78","R$ 5.560,78","R$ 3.708,57"
Farmácia,189,Outros Benefícios Assistenciais do Servidor ou Militar,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Farmácia,190,Folha de Pagamento,1500,"R$ 500,00",,,"R$ 500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Farmácia,191,Materiais de Consumo,1500,"R$ 100.000,00",,,"R$ 78.653,60","R$ 7.291,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 7.147,00","R$ 75,60","R$ 14.055,40","R$ 4.498,50","R$ 7.071,40",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 21.346,40","R$ 11.645,50","R$ 7.147,00"
Farmácia,192,Serviços de Terceiros PJ,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Farmácia,193,Equipamentos e Materiais Permanentes ,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Vigilância ,194,Folha de Pagamento,1500,"R$ 60.000,00",,,"R$ 60.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
