,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
MAC,461,Serviços de Terceiros PJ,1621,"R$ 22.300,00",,,"R$ 22.300,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
MAC,462,Auxílios,1621,"R$ 100.000,00",,,"R$ 100.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
ADM Geral Vinculada á Saúde ,411,Diárias - Pessoal Civil,1500,"R$ 500,00",,,"R$ 500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
ADM Geral Vinculada á Saúde ,412,Materiais de Consumo,1500,"R$ 500,00",,,"R$ 500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
ADM Geral Vinculada á Saúde ,413,Serviços de Terceiros PF,1500,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
ADM Geral Vinculada á Saúde ,414,Serviços de Terceiros PJ,1500,"R$ 1.500,00",,,"R$ 1.500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
ADM Geral Vinculada á Saúde ,415,Equipamentos e Materiais Permanentes,1500,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
ADM Geral Vinculada á Saúde ,412,Materiais de Consumo,1621,"R$ 500,00",,,"R$ 500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
ADM Geral Vinculada á Saúde ,414,Serviços de Terceiros PJ,1621,"R$ 500,00",,,"R$ 500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,416,Contratação por tempo Determinado,1500,"R$ 54.500,00",,"R$ 10.000,00","R$ 14.254,91","R$ 9.390,78","R$ 9.390,78","R$ 8.021,25","R$ 10.614,46","R$ 10.614,46","R$ 10.436,00","R$ 10.239,85","R$ 10.239,85","R$ 10.294,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 30.245,09","R$ 30.245,09","R$ 28.751,73"
Secretaria,417,Vencimentos e Vantagens Fixas - Pessoal Civil,1500,"R$ 774.600,00",,,"R$ 614.690,50","R$ 53.658,96","R$ 53.658,96","R$ 53.658,96","R$ 51.244,21","R$ 51.244,21","R$ 51.244,21","R$ 55.006,33","R$ 55.006,33","R$ 55.006,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 159.909,50","R$ 159.909,50","R$ 159.909,50"
Secretaria,418,Obrigações Patronais,1500,"R$ 110.100,00",,,"R$ 89.125,71","R$ 6.789,25","R$ 6.789,25","R$ 0,00","R$ 6.789,25","R$ 6.789,25","R$ 6.789,25","R$ 7.395,79","R$ 7.395,79","R$ 6.789,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 20.974,29","R$ 20.974,29","R$ 13.578,50"
Secretaria,419,Outras Despesas Variáveis - Pessoal Civil,1500,"R$ 1.500,00",,,"R$ 1.500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,420,Indenizações e Restituições Trabalhistas,1500,"R$ 5.000,00",,,"R$ 3.514,59","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.485,41","R$ 1.485,41","R$ 1.485,41","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.485,41","R$ 1.485,41","R$ 1.485,41"
Secretaria,421,Diárias - Pessoal Civil,1500,"R$ 5.000,00",,,"R$ 1.810,00","R$ 3.010,00","R$ 650,00","R$ 650,00","R$ 180,00","R$ 276,00","R$ 276,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 3.190,00","R$ 926,00","R$ 926,00"
Secretaria,422,Materiais de Consumo,1500,"R$ 15.000,00",,,"R$ 6.214,17","R$ 7.150,00","R$ 0,00","R$ 0,00","R$ 1.157,04","R$ 840,00","R$ 10,08","R$ 478,79","R$ 1.077,04","R$ 1.906,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 8.785,83","R$ 1.917,04","R$ 1.917,04"
Secretaria,423,Passagens e Despesas com Locomoção,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,424,Serviços de Terceiros PF,1500,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
