,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro
MAC,180,Folha de Pagamento,1500,"R$ 75.000,00",,,"R$ 75.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,181,Materiais de Consumo,1500,"R$ 70.000,00",,,"R$ 70.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,182,Serviços de Terceiros PJ,1500,"R$ 10.000,00",,,"R$ 10.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmácia,183,Folha de Pagamento,1500,"R$ 35.000,00",,,"R$ 35.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmácia,184,Folha de Pagamento,1500,"R$ 160.000,00",,,"R$ 160.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmácia,185,Folha de Pagamento,1500,"R$ 1.000,00",,,"R$ 1.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmácia,186,Folha de Pagamento,1500,"R$ 1.000,00",,,"R$ 1.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmácia,187,Folha de Pagamento,1500,"R$ 8.000,00",,,"R$ 8.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmácia,188,Folha de Pagamento,1500,"R$ 27.000,00",,,"R$ 27.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmácia,189,Outros Benefícios Assistenciais do Servidor ou Militar,1500,"R$ 1.000,00",,,"R$ 1.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmácia,190,Folha de Pagamento,1500,"R$ 500,00",,,"R$ 500,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmácia,191,Materiais de Consumo,1500,"R$ 100.000,00",,,"R$ 100.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmácia,192,Serviços de Terceiros PJ,1500,"R$ 1.000,00",,,"R$ 1.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmácia,193,Equipamentos e Materiais Permanentes ,1500,"R$ 5.000,00",,,"R$ 5.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,194,Folha de Pagamento,1500,"R$ 60.000,00",,,"R$ 60.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,195,Folha de Pagamento,1500,"R$ 300.000,00",,,"R$ 300.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,196,Folha de Pagamento,1500,"R$ 1.000,00",,,"R$ 1.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,197,Folha de Pagamento,1500,"R$ 4.000,00",,,"R$ 4.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,198,Folha de Pagamento,1500,"R$ 4.000,00",,,"R$ 4.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,199,Folha de Pagamento,1500,"R$ 50.000,00",,,"R$ 50.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,200,Outros Benefícios Assistenciais do Servidor ou Militar,1500,"R$ 1.000,00",,,"R$ 1.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,201,Folha de Pagamento,1500,"R$ 2.000,00",,,"R$ 2.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,202,Materiais de Consumo,1500,"R$ 3.000,00",,,"R$ 3.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,203,Serviços de Terceiros PJ,1500,"R$ 1.000,00",,,"R$ 1.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,204,Equipamentos e Materiais Permanentes ,1500,"R$ 1.000,00",,,"R$ 1.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,205,Serviços de Terceiro PF ,1500,"R$ 10.000,00",,,"R$ 10.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,206,Serviços de Terceiros PJ,1500,"R$ 50.000,00",,,"R$ 50.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
