,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,"R$ 0,00",Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Ensino Fundamental,2.037,Manutenção das atividades da educação,495,Contratação por tempo Determinado,15403,"R$ 161.880,00",,"R$ 10.780,00","R$ 151.100,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.037,Manutenção das atividades da educação,498,Vencimentos e Vantagens Fixas - Pessoal Civil,15403,"R$ 415.886,35",,,"R$ 415.886,35","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.037,Manutenção das atividades da educação,502,Obrigações Patronais,15403,"R$ 139.728,00",,,"R$ 139.728,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.037,Manutenção das atividades da educação,505,Outras Despesas Variáveis - Pessoal Civil,15403,"R$ 23.856,00",,,"R$ 23.856,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.037,Manutenção das atividades da educação,664, AUXÍLIO-ALIMENTAÇÃO,15403,"R$ 0,00","R$ 21.108,00",,"-R$ 24.837,65","R$ 8.800,00","R$ 8.800,00","R$ 8.800,00","R$ 12.307,15","R$ 12.307,15","R$ 12.307,15","R$ 12.194,67","R$ 12.194,67","R$ 12.194,67","R$ 12.643,83","R$ 12.643,83","R$ 12.643,83",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 45.945,65","R$ 45.945,65","R$ 45.945,65"
Ensino Fundamental,2.037,Manutenção das atividades da educação,496,Contratação por tempo Determinado,15407,"R$ 646.455,00",,,"R$ 221.506,23","R$ 7.568,75","R$ 7.568,75","R$ 7.568,75","R$ 132.480,31","R$ 132.480,31","R$ 132.480,31","R$ 139.323,76","R$ 139.323,76","R$ 139.323,76","R$ 145.575,95","R$ 145.575,95","R$ 145.575,95",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 424.948,77","R$ 424.948,77","R$ 424.948,77"
Ensino Fundamental,2.037,Manutenção das atividades da educação,499,Vencimentos e Vantagens Fixas - Pessoal Civil,15407,"R$ 1.681.378,65",,,"R$ 697.011,18","R$ 100.319,11","R$ 100.319,11","R$ 100.319,11","R$ 290.130,87","R$ 290.130,87","R$ 290.130,87","R$ 286.432,91","R$ 286.432,91","R$ 286.432,91","R$ 307.484,58","R$ 307.484,58","R$ 307.484,58",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 984.367,47","R$ 984.367,47","R$ 984.367,47"
Ensino Fundamental,2.037,Manutenção das atividades da educação,503,Obrigações Patronais,15407,"R$ 558.912,00",,,"R$ 318.019,86","R$ 55.197,94","R$ 55.197,94","R$ 351,20","R$ 77.339,65","R$ 77.339,65","R$ 55.411,83","R$ 23.629,36","R$ 23.629,36","R$ 77.330,64","R$ 84.725,19","R$ 84.725,19","R$ 23.681,14",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 240.892,14","R$ 240.892,14","R$ 156.774,81"
Ensino Fundamental,2.037,Manutenção das atividades da educação,506,Outras Despesas Variáveis - Pessoal Civil,15407,"R$ 95.424,00",,,"R$ 56.542,14","R$ 350,97","R$ 350,97","R$ 350,97","R$ 5.304,65","R$ 5.304,65","R$ 5.304,65","R$ 18.231,77","R$ 18.231,77","R$ 18.231,77","R$ 14.994,47","R$ 14.994,47","R$ 14.994,47",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 38.881,86","R$ 38.881,86","R$ 38.881,86"
Ensino Fundamental,2.037,Manutenção das atividades da educação,500,Vencimentos e Vantagens Fixas - Pessoal Civil,1542,"R$ 501,40",,,"R$ 501,40","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
