,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,"R$ 0,00",Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,252,PASSAGENS E DESPESAS COM LOCOMOÇÃO,15001,"R$ 130.000,00",,"R$ 96.000,00","R$ 28.937,87","R$ 0,00","R$ 0,00","R$ 0,00","R$ 5.405,06","R$ 505,60","R$ 505,60","-R$ 342,93","R$ 3.657,07","R$ 3.657,07","R$ 0,00","R$ 195,04","R$ 195,04",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 5.062,13","R$ 4.357,71","R$ 4.357,71"
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,253,Serviços de Terceiro PF,15001,"R$ 10.000,00","R$ 7.000,00",,"R$ 180,92","R$ 16.819,08","R$ 16.819,08","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.401,59","R$ 0,00","R$ 0,00","R$ 1.401,59","R$ 0,00","R$ 0,00","R$ 1.401,59",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 16.819,08","R$ 16.819,08","R$ 4.204,77"
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,254,Serviços de Terceiros PJ,15001,"R$ 50.000,00","R$ 6.000,00",,"R$ 24.570,12","R$ 4.631,80","R$ 3.493,00","R$ 0,00","R$ 8.400,00","R$ 1.389,80","R$ 4.882,80","R$ 5.938,08","R$ 7.389,80","R$ 7.389,80","R$ 12.460,00","R$ 25.417,24","R$ 25.417,24",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 31.429,88","R$ 37.689,84","R$ 37.689,84"
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,254,Serviços de Terceiros PJ,15403,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,254,Serviços de Terceiros PJ,1550,"R$ 0,00","R$ 6.000,00",,"R$ 536,49","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 5.463,51","R$ 0,00","R$ 0,00","R$ 0,00","R$ 5.463,51","R$ 5.463,51",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 5.463,51","R$ 5.463,51","R$ 5.463,51"
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,255,Equipamentos e Materiais Permanentes,1550,"R$ 0,00","R$ 4.000,00",,"R$ 821,51","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 3.178,49","R$ 0,00","R$ 0,00","R$ 0,00","R$ 3.178,49","R$ 3.178,49",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 3.178,49","R$ 3.178,49","R$ 3.178,49"
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,255,Equipamentos e Materiais Permanentes,1569,"R$ 500.000,00",,,"R$ 500.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,255,Equipamentos e Materiais Permanentes,1571,"R$ 500.000,00",,,"R$ 500.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.058,MANUTENÇÃO DO TRANSPORTE ESCOLAR,256,Vencimentos e Vantagens Fixas - Pessoal Civil,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.058,MANUTENÇÃO DO TRANSPORTE ESCOLAR,257,Obrigações Patronais,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.058,MANUTENÇÃO DO TRANSPORTE ESCOLAR,258,Materiais de Consumo,15001,"R$ 100.000,00","R$ 86.000,00",,"R$ 1.043,12","R$ 146.647,50","R$ 268,38","R$ 268,38","R$ 6.735,38","R$ 34.708,81","R$ 34.130,58","R$ 31.574,00","R$ 15.504,23","R$ 15.832,80","R$ 0,00","R$ 23.338,36","R$ 23.293,16",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 184.956,88","R$ 73.819,78","R$ 73.524,92"
Ensino Fundamental,2.058,MANUTENÇÃO DO TRANSPORTE ESCOLAR,258,Materiais de Consumo,1553,"R$ 20.000,00",,,"R$ 20.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.058,MANUTENÇÃO DO TRANSPORTE ESCOLAR,258,Materiais de Consumo,1576,"R$ 100.000,00",,,"R$ 36.054,90","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 63.945,10","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 63.945,10","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.058,MANUTENÇÃO DO TRANSPORTE ESCOLAR,259,Serviços de Terceiros PJ,1500,"R$ 300.000,00","R$ 150.000,00","R$ 20.000,00","R$ 430.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.058,MANUTENÇÃO DO TRANSPORTE ESCOLAR,259,Serviços de Terceiros PJ,15403,"R$ 0,00","R$ 561.000,00",,"R$ 1.501,05","R$ 0,00","R$ 0,00","R$ 0,00","R$ 337.639,05","R$ 54.987,76","R$ 54.987,76","R$ 197.350,80","R$ 70.421,03","R$ 70.421,03","R$ 24.509,10","R$ 204.501,15","R$ 204.501,15",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 559.498,95","R$ 329.909,94","R$ 329.909,94"
Ensino Fundamental,2.058,MANUTENÇÃO DO TRANSPORTE ESCOLAR,259,Serviços de Terceiros PJ,1550,"R$ 93.776,00",,,"R$ 93.776,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.058,MANUTENÇÃO DO TRANSPORTE ESCOLAR,259,Serviços de Terceiros PJ,1553,"R$ 43.840,00",,,"R$ 28.149,93","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 15.690,07","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 15.690,07","R$ 0,00","R$ 0,00"
