,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Ensino Geral,2.043,MANUTENÇÃO DO TRANSPORTE ESCOLAR,231,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 90.000,00",,,"R$ 90.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.043,MANUTENÇÃO DO TRANSPORTE ESCOLAR,232,Obrigações Patronais,1500,"R$ 85.000,00",,"R$ 6.200,00","R$ 78.800,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.043,MANUTENÇÃO DO TRANSPORTE ESCOLAR,232,Obrigações Patronais,25001,"R$ 0,00","R$ 8.967,91",,"R$ 0,00","R$ 4.050,11","R$ 4.050,11","R$ 0,00","R$ 4.917,80","R$ 4.917,80","R$ 4.050,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 8.967,91","R$ 8.967,91","R$ 4.050,11"
Ensino Geral,2.043,MANUTENÇÃO DO TRANSPORTE ESCOLAR,233,Outras Despesas Variáveis - Pessoal Civil,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.043,MANUTENÇÃO DO TRANSPORTE ESCOLAR,234,Indenizações e Restituições Trabalhistas,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.043,MANUTENÇÃO DO TRANSPORTE ESCOLAR,234,Indenizações e Restituições Trabalhistas,25001,"R$ 0,00","R$ 10.285,72",,"R$ 0,00","R$ 5.170,57","R$ 5.170,57","R$ 5.170,57","R$ 5.115,15","R$ 5.115,15","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 10.285,72","R$ 10.285,72","R$ 5.170,57"
Ensino Geral,2.043,MANUTENÇÃO DO TRANSPORTE ESCOLAR,235,Materiais de Consumo,15001,"R$ 1.000.000,00",,"R$ 21.000,00","R$ 820.876,09","R$ 82.822,68","R$ 6.911,45","R$ 0,00","R$ 75.301,23","R$ 108.465,03","R$ 87.019,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 158.123,91","R$ 115.376,48","R$ 87.019,64"
Ensino Geral,2.043,MANUTENÇÃO DO TRANSPORTE ESCOLAR,235,Materiais de Consumo,,"R$ 0,00","R$ 10.000,00",,"R$ 4.209,83","R$ 0,00","R$ 0,00","R$ 0,00","R$ 5.790,17","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 5.790,17","R$ 0,00","R$ 0,00"
Ensino Geral,2.043,MANUTENÇÃO DO TRANSPORTE ESCOLAR,236,Serviços de Terceiro PF,1500,"R$ 400.000,00",,,"R$ 400.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.043,MANUTENÇÃO DO TRANSPORTE ESCOLAR,237,Serviços de Terceiros PJ,15001,"R$ 800.000,00",,,"R$ 778.934,46","R$ 14.311,89","R$ 3.650,00","R$ 0,00","R$ 6.753,65","R$ 10.866,04","R$ 14.516,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 21.065,54","R$ 14.516,04","R$ 14.516,04"
