,,,,,,,,,,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago
Categoria ,Código AT,Atividade ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Toral,Toral
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,204,Indenizações e restrições,2569,"R$ 50,00",,,"R$ 32,79","R$ 0,00","R$ 0,00","R$ 0,00",,,,"R$ 0,00",,,"R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.100,"CONSTRUÇÃO, AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES ",215,Obras e Instalações ,15001,"R$ 250.000,00",,"R$ 175.485,63","R$ 74.514,37","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.100,"CONSTRUÇÃO, AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES ",215,Obras e Instalações ,1550,"R$ 200.000,00",,,"R$ 200.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil ,1.105,"CONSTRUÇÃO, AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES ",228,Obras e Instalações ,15001,"R$ 150.000,00",,"R$ 13.242,03","R$ 136.757,97","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil ,1.105,"CONSTRUÇÃO, AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES ",228,Obras e Instalações ,1550,"R$ 150.000,00",,,"R$ 150.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 83,15","R$ 83,15","R$ 83,15","R$ 1.076,41","R$ 1.076,41","R$ 1.076,41",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.159,56","R$ 1.159,56","R$ 1.159,56"
Secretaria,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,209,Outras Despesas Variáveis - Pessoal Civil,1500,"R$ 0,00","R$ 5.000,00",,,"R$ 0,00","R$ 0,00","R$ 0,00",,,,"R$ 16.507,32","R$ 16.507,32","R$ 16.507,32","R$ 6.159,44","R$ 6.159,44","R$ 6.159,44",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 22.666,76","R$ 22.666,76","R$ 22.666,76"
Secretaria,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,210,Indenizações e Restituições Trabalhistas,1500,"R$ 0,00","R$ 22.666,76",,,"R$ 0,00","R$ 0,00","R$ 0,00",,,,"R$ 29.782,74","R$ 29.782,74","R$ 28.915,83","R$ 12.332,50","R$ 12.332,50","R$ 14.827,50",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 69.582,76","R$ 96.493,04","R$ 94.064,93"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,206,Contratação por tempo Determinado,15001,"R$ 158.000,00",,,"R$ 88.417,24","R$ 27.467,52","R$ 27.467,52","R$ 23.443,23","R$ 26.910,28","R$ 26.910,28","R$ 26.878,37","R$ 6.804,12","R$ 6.804,12","R$ 6.804,12","R$ 10.234,84","R$ 10.234,84","R$ 10.234,84",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 20.280,96","R$ 23.522,96","R$ 23.522,96"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,207,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 350.000,00",,,"R$ 329.719,04","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00","R$ 1.388,76","R$ 1.388,76","R$ 553,53","R$ 2.741,18","R$ 2.741,18","R$ 1.388,76",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.683,47","R$ 5.237,00","R$ 2.495,82"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,208,Obrigações Patronais,15001,"R$ 45.000,00",,,"R$ 40.316,53","R$ 553,53","R$ 553,53",,"R$ 553,53","R$ 553,53","R$ 553,53","R$ 3.974,69","R$ 3.974,69","R$ 3.974,69","R$ 2.627,61","R$ 2.627,61","R$ 2.627,61",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 6.729,01","R$ 7.631,81","R$ 7.631,81"
