,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Toral,Toral
Educação Infantil,2.355,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,595,"Material, Bem ou Serviço para Distribuição Gratuita",15001,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.355,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,596,Serviços de Terceiro PF,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.355,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,597,Serviços de Terceiros PJ,15001,"R$ 25.000,00",,,"R$ 3.715,00","R$ 21.285,00","R$ 1.802,75","R$ 11,31","R$ 0,00","R$ 1.928,29","R$ 1.798,40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 21.285,00","R$ 3.731,04","R$ 1.809,71"
Educação Infantil,2.355,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,598,Auxílio-alimentação,15001,"R$ 170.000,00",,,"R$ 145.127,67","R$ 11.592,33","R$ 11.592,33","R$ 11.592,33","R$ 13.280,00","R$ 13.280,00","R$ 13.280,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 24.872,33","R$ 24.872,33","R$ 24.872,33"
Educação Infantil,2.356,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,599,Materiais de Consumo,1550,"R$ 50.000,00",,,"R$ 50.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.356,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,600,Serviços de Terceiros PJ,1550,"R$ 100.000,00",,,"R$ 100.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.215,AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES,603,Obras e Instalações,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.215,AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES,604,Obras e Instalações,1550,"R$ 100.000,00",,,"R$ 17.650,20","R$ 0,00","R$ 0,00","R$ 0,00","R$ 82.349,80","R$ 60.534,81","R$ 60.534,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 82.349,80","R$ 60.534,81","R$ 60.534,81"
Ensino Fundamental,1.239, AQUISICAO EQUIP.MATER.PERM./VEICULOS ,605,Equipamentos e Materiais Permanentes,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.247,AQUISICAO DE VEICULOS,620,Equipamentos e Materiais Permanentes,1569,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.247,AQUISICAO DE VEICULOS,621,Equipamentos e Materiais Permanentes,1570,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.247,AQUISICAO DE VEICULOS,622,Equipamentos e Materiais Permanentes,1571,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.357,MANUTENÇÃO DA MERENDA ESCOLAR,601,Materiais de Consumo,1552,"R$ 80.000,00",,,"R$ 77.052,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.948,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.948,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.358,MANUTENÇÃO DA MERENDA ESCOLAR,602,Materiais de Consumo,1500,"R$ 60.000,00",,,"R$ 46.947,39","R$ 8.211,66","R$ 8.063,16","R$ 46,00","R$ 4.840,95","R$ 4.783,65","R$ 3.831,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 13.052,61","R$ 12.846,81","R$ 3.877,45"
,,,737,Contratação por tempo Determinado,1500,"R$ 0,00","R$ 1.819,00",,"R$ 47,02","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.771,98","R$ 1.771,98","R$ 1.668,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.771,98","R$ 1.771,98","R$ 1.668,72"
,,,736,Auxílio-alimentação,1500,"R$ 0,00","R$ 56,00",,"R$ 0,67","R$ 0,00","R$ 0,00","R$ 0,00","R$ 55,33","R$ 55,33","R$ 55,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 55,33","R$ 55,33","R$ 55,33"
Ensino Fundamental,2.359,REMUNERAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO,606,Contratação por tempo Determinado,15001,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.359,REMUNERAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO,607,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.359,REMUNERAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO,608,Obrigações Patronais,15001,"R$ 1.000,00","R$ 14.000,00",,"R$ 327,94","R$ 0,00","R$ 0,00","R$ 0,00","R$ 14.672,06","R$ 14.672,06","R$ 14.672,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 14.672,06","R$ 14.672,06","R$ 14.672,06"
Ensino Fundamental,2.359,REMUNERAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO,609,Auxílio-alimentação,15403,"R$ 716.530,75",,,"R$ 573.899,60","R$ 63.799,36","R$ 63.799,36","R$ 63.799,36","R$ 78.831,79","R$ 78.831,79","R$ 78.831,79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 142.631,15","R$ 142.631,15","R$ 142.631,15"
Ensino Fundamental,2.360,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,718,Vencimentos e Vantagens Fixas - Pessoal Civil,1500,"R$ 0,00","R$ 5.110,00",,"R$ 1,18","R$ 5.108,82","R$ 5.108,82","R$ 5.108,82","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 5.108,82","R$ 5.108,82","R$ 5.108,82"
Ensino Fundamental,2.360,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,722,Obrigações Patronais,1500,"R$ 0,00","R$ 948,00",,"R$ 1,00","R$ 947,00","R$ 947,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 947,00","R$ 947,00","R$ 0,00"
Ensino Fundamental,2.360,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,719,Indenizações e Restituições Trabalhistas,1500,"R$ 0,00","R$ 62.809,00",,"R$ 0,37","R$ 57.825,67","R$ 57.825,67","R$ 57.825,67","R$ 4.982,96","R$ 4.982,96","R$ 4.982,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 62.808,63","R$ 62.808,63","R$ 62.808,63"
Ensino Fundamental,2.360,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,616,"Material, Bem ou Serviço para Distribuição Gratuita",1500,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.360,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,610,Contratação por tempo Determinado,15001,"R$ 20.000,00",,,"R$ 15.874,76","R$ 194,49","R$ 194,49","R$ 194,49","R$ 3.930,75","R$ 3.930,75","R$ 3.374,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.125,24","R$ 4.125,24","R$ 3.568,52"
Ensino Fundamental,2.360,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,611,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 300.000,00",,,"R$ 194.947,25","R$ 59.124,79","R$ 59.124,79","R$ 59.124,79","R$ 45.927,96","R$ 45.927,96","R$ 45.927,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 105.052,75","R$ 105.052,75","R$ 105.052,75"
Ensino Fundamental,2.360,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,612,Obrigações Patronais,15001,"R$ 30.000,00",,,"R$ 10.251,63","R$ 12.281,23","R$ 12.281,23","R$ 7.917,13","R$ 7.467,14","R$ 7.467,14","R$ 270,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 19.748,37","R$ 19.748,37","R$ 8.187,29"
Ensino Fundamental,2.360,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,613,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 3.000,00",,,"R$ 2.428,84","R$ 487,58","R$ 487,58","R$ 487,58","R$ 83,58","R$ 83,58","R$ 83,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 571,16","R$ 571,16","R$ 571,16"
Ensino Fundamental,2.360,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,614,Indenizações e Restituições Trabalhistas,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.360,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,615,Materiais de Consumo,15001,"R$ 150.000,00",,,"R$ 81.992,54","R$ 1.645,80","R$ 0,00","R$ 0,00","R$ 66.361,66","R$ 5.937,00","R$ 49,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 68.007,46","R$ 5.937,00","R$ 49,97"
Ensino Fundamental,2.360,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,617,Serviços de Terceiro PF,15001,"R$ 4.000,00",,,"R$ 4.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.360,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,618,Serviços de Terceiros PJ,15001,"R$ 100.000,00",,,"R$ 38.812,37","R$ 61.083,51","R$ 7.264,76","R$ 56,47","R$ 104,12","R$ 6.616,17","R$ 7.244,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 61.187,63","R$ 13.880,93","R$ 7.301,21"
Ensino Fundamental,2.360,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,619,Auxílio-alimentação,15001,"R$ 90.000,00",,,"R$ 62.444,01","R$ 13.252,33","R$ 13.252,33","R$ 13.252,33","R$ 14.303,66","R$ 14.303,66","R$ 14.303,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 27.555,99","R$ 27.555,99","R$ 27.555,99"
Ensino Fundamental,2.361,MANUTENÇÃO DO TRANSPORTE ESCOLAR,623,Materiais de Consumo,1576,"R$ 701.000,00",,,"R$ 654.948,00","R$ 46.052,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 46.052,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.361,MANUTENÇÃO DO TRANSPORTE ESCOLAR,624,Serviços de Terceiros PJ,1576,"R$ 700.000,00",,,"R$ 678.580,00","R$ 21.420,00","R$ 20.920,00","R$ 20.920,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 21.420,00","R$ 20.920,00","R$ 20.920,00"
Ensino Fundamental,2.362,MANUTENÇÃO DO TRANSPORTE ESCOLAR,625,Contratação por tempo Determinado,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
