,,,,,,,,,,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago
Categoria ,Código AT,Atividade ,Elemento,Ficha,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Ensino Superior,1.003,AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES,Obras e Instalações,373,1570,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Superior,1.003,AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES,Obras e Instalações,371,15001,"R$ 100.000,00",,,"R$ 100.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.003,AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES,Obras e Instalações,372,15403,"R$ 100.000,00",,,"R$ 100.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.004,EQUIPAR A REDE ,Equipamentos e Materiais Permanentes,375,1571,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.004,EQUIPAR A REDE ,Equipamentos e Materiais Permanentes,374,1570,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.006,CONSTRUÇÃO USINA FOTOVOLTAICA PREDIOS,Obras e Instalações,376,15001,"R$ 228.600,00",,,"R$ 228.600,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.058,AQUISIÇÃO DE VEICULOS PARA TRANSPORTE ESCOLAR ,Equipamentos e Materiais Permanentes,771,2571,"R$ 0,00","R$ 1.296.192,04",,"R$ 47.901,96","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.248.290,08","R$ 1.248.290,08","R$ 631.634,78","R$ 0,00","R$ 0,00","R$ 616.655,30","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.248.290,08","R$ 1.248.290,08","R$ 1.248.290,08"
Ensino Fundamental,2.031,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,Contratação por tempo Determinado,378,1569,"R$ 500,00",,,"R$ 500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.031,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,Contratação por tempo Determinado,377,15001,"R$ 330.000,00",,,"R$ 330.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.031,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,Vencimentos e Vantagens Fixas - Pessoal Civil,380,1569,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.031,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,Vencimentos e Vantagens Fixas - Pessoal Civil,379,15001,"R$ 130.000,00",,,"R$ 124.875,51","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.177,88","R$ 1.177,88","R$ 1.177,88","R$ 3.946,61","R$ 3.946,61","R$ 3.946,61",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 5.124,49","R$ 5.124,49","R$ 5.124,49"
Ensino Fundamental,2.031,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,Obrigações Patronais,381,15001,"R$ 10.000,00",,,"R$ 9.573,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 168,03","R$ 168,03","R$ 0,00","R$ 257,99","R$ 257,99","R$ 168,03",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 426,02","R$ 426,02","R$ 168,03"
Ensino Fundamental,2.031,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,Outras Despesas Variáveis - Pessoal Civil,382,15001,"R$ 5.000,00",,,"R$ 4.497,16","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 502,84","R$ 502,84","R$ 502,84",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 502,84","R$ 502,84","R$ 502,84"
Ensino Fundamental,2.031,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,Indenizações e Restituições Trabalhistas,384,15403,"R$ 20.000,00",,,"R$ 20.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.031,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,Indenizações e Restituições Trabalhistas,383,1500,"R$ 65.000,00",,,"R$ 10.814,38","R$ 1.264,60","R$ 1.264,60","R$ 1.264,60","R$ 11.953,12","R$ 11.953,12","R$ 11.953,12","R$ 2.463,64","R$ 2.463,64","R$ 2.463,64","R$ 38.504,26","R$ 38.504,26","R$ 38.504,26",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 54.185,62","R$ 54.185,62","R$ 54.185,62"
Ensino Fundamental,2.031,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,Diárias - Pessoal Civil,385,15001,"R$ 500,00",,,"R$ 500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.031,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,Materiais de Consumo,387,15001,"R$ 320.000,00",,,"R$ 196.712,62","R$ 20.291,92","R$ 10.019,99","R$ 10.019,99","R$ 29.774,69","R$ 28.843,46","R$ 26.853,21","R$ 58.850,35","R$ 35.080,12","R$ 35.450,82","R$ 14.370,42","R$ 36.921,14","R$ 35.427,16",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 123.287,38","R$ 110.864,71","R$ 107.751,18"
Ensino Fundamental,2.031,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,Materiais de Consumo,386,1500,"R$ 1.000,00","R$ 5.300,00",,"R$ 10,20","R$ 0,00","R$ 0,00","R$ 0,00","R$ 996,30","R$ 0,00","R$ 0,00","R$ 0,00","R$ 996,30","R$ 996,30","R$ 5.293,50","R$ 5.293,50","R$ 5.293,50",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 6.289,80","R$ 6.289,80","R$ 6.289,80"
Ensino Fundamental,2.031,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,Serviços de Terceiro PF,389,15001,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.031,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,Serviços de Terceiro PF,388,1500,"R$ 500,00",,,"R$ 500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.031,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,Serviços de Terceiros PJ,391,15001,"R$ 106.000,00","R$ 200,00",,"R$ 352,01","R$ 26.269,00","R$ 9.297,46","R$ 3.255,28","R$ 12.746,66","R$ 12.582,15","R$ 12.708,46","R$ 45.856,78","R$ 28.884,52","R$ 18.364,58","R$ 20.975,55","R$ 35.581,46","R$ 11.703,41",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 105.847,99","R$ 86.345,59","R$ 46.031,73"
Ensino Fundamental,2.031,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,Serviços de Terceiros PJ,390,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.031,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO - PESSOA JURÍDICA,392,15001,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
