 ,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Ensino Fundamental,1.236.100.062.066,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,599,Indenizações e Restituições Trabalhistas,1500,"R$ 3.000,00","R$ 5.000,00",,"R$ 3.019,37","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.980,63","R$ 4.980,63","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.980,63","R$ 4.980,63","R$ 0,00"
Ensino Fundamental,1.236.100.062.066,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,600,Diárias - Pessoal Civil,15001,"R$ 10.000,00",,,"R$ 3.430,00","R$ 2.070,00","R$ 0,00","R$ 0,00","R$ 4.500,00","R$ 6.570,00","R$ 2.070,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 6.570,00","R$ 6.570,00","R$ 2.070,00"
Ensino Fundamental,1.236.100.062.066,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,601,Materiais de Consumo,1500,"R$ 450.000,00",,,"R$ 342.159,45","R$ 107.840,55","R$ 734,40","R$ 0,00","R$ 0,00","R$ 628,73","R$ 837,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 107.840,55","R$ 1.363,13","R$ 837,38"
Ensino Fundamental,1.236.100.062.066,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,601,Materiais de Consumo,15001,"R$ 0,00",,,"-R$ 6.555,42","R$ 5.575,39","R$ 0,00","R$ 0,00","R$ 980,03","R$ 1.289,10","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 6.555,42","R$ 1.289,10","R$ 0,00"
Ensino Fundamental,1.236.100.062.066,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,602,Serviços de Terceiro PF,1500,"R$ 140.000,00",,,"R$ 137.933,34","R$ 2.066,66","R$ 2.066,66","R$ 2.066,66","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.066,66","R$ 2.066,66","R$ 2.066,66"
Ensino Fundamental,1.236.100.062.066,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,602,Serviços de Terceiro PF,15001,"R$ 0,00",,,"-R$ 12.801,95","R$ 486,66","R$ 486,66","R$ 0,00","R$ 12.315,29","R$ 12.315,29","R$ 12.315,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 12.801,95","R$ 12.801,95","R$ 12.315,29"
Ensino Fundamental,1.236.100.062.066,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,603,Serviços de Terceiros PJ,15001,"R$ 50.000,00",,,"R$ 42.830,00","R$ 7.170,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.390,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 7.170,00","R$ 2.390,00","R$ 0,00"
Ensino Fundamental,1.236.100.062.066,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,604,Auxílio-alimentação,1500,"R$ 450.000,00",,,"R$ 358.850,01","R$ 46.000,00","R$ 46.000,00","R$ 46.000,00","R$ 45.149,99","R$ 45.149,99","R$ 45.149,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 91.149,99","R$ 91.149,99","R$ 91.149,99"
Ensino Fundamental,1.236.100.062.066,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,604,Auxílio-alimentação,15001,"R$ 0,00",,,"-R$ 4.450,00","R$ 2.000,00","R$ 2.000,00","R$ 2.000,00","R$ 2.450,00","R$ 2.450,00","R$ 2.450,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.450,00","R$ 4.450,00","R$ 4.450,00"
Ensino Fundamental,1.236.100.062.066,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,605,Obrigações Tributárias e Contributivas,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
