,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Toral,Toral
Ensino Fundamental,2.063,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,190,Serviços de Terceiro PF,15001,"R$ 8.679,00",,,"R$ 4.179,00","R$ 4.500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.500,00","R$ 4.500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.500,00","R$ 4.500,00","R$ 4.500,00"
Ensino Fundamental,2.063,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,191,Serviços de Terceiros PJ,15001,"R$ 461.351,00",,,"R$ 137.010,36","R$ 287.522,16","R$ 38.652,09","R$ 38.427,36","R$ 8.669,54","R$ 224.583,84","R$ 224.808,57","R$ 25.728,94","R$ 18.559,23","R$ 2.745,95","R$ 2.420,00","R$ 32.257,71","R$ 36.872,82",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 324.340,64","R$ 314.052,87","R$ 302.854,70"
Ensino Fundamental,2.063,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,192,Auxílio-alimentação,15001,"R$ 216.788,00",,,"R$ 214.776,34","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.133,33","R$ 1.133,33","R$ 1.133,33","R$ 850,00","R$ 850,00","R$ 850,00","R$ 28,33","R$ 28,33","R$ 28,33",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.011,66","R$ 2.011,66","R$ 2.011,66"
Ensino Fundamental,2.063,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,193,Equipamentos e Materiais Permanentes,15001,"R$ 96.800,00",,,"R$ 94.610,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.190,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.190,00","R$ 2.190,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.190,00","R$ 2.190,00","R$ 2.190,00"
Ensino Geral,2.065,CONTRIBUIÇÃO P/ FORMAÇÃO DO PASEP -,194, Obrigações Tributárias e Contributivas,15001,"R$ 82.500,00",,"R$ 50.000,00","R$ 32.500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.072,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,199,Contratação por tempo Determinado,15001,"R$ 11.000,00",,,"R$ 11.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.072,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,200,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 275.000,00",,,"R$ 275.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.072,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,201,Obrigações Patronais,15001,"R$ 44.000,00",,,"R$ 44.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.072,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,202,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 26.411,00",,,"R$ 26.411,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.072,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,203,Indenizações e Restituições Trabalhistas,15001,"R$ 38.522,00",,,"R$ 38.522,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
